lands-of-lore;http://en.wikipedia.org/wiki/Lands_of_Lore:_The_Throne_of_Chaos
larry1;http://en.wikipedia.org/wiki/Leisure_Suit_Larry_in_the_Land_of_the_Lounge_Lizards
larry2;http://en.wikipedia.org/wiki/Leisure_Suit_Larry_Goes_Looking_for_Love_%28in_Several_Wrong_Places%29
larry3;http://en.wikipedia.org/wiki/Leisure_Suit_Larry_3:_Passionate_Patti_in_Pursuit_of_the_Pulsating_Pectorals
larry5;http://en.wikipedia.org/wiki/Leisure_Suit_Larry_5:_Passionate_Patti_Does_a_Little_Undercover_Work
larry6;http://en.wikipedia.org/wiki/Leisure_Suit_Larry_6:_Shape_Up_or_Slip_Out%21
last-crusade;http://en.wikipedia.org/wiki/Indiana_Jones_and_the_Last_Crusade:_The_Graphic_Adventure
laura-bow1;http://en.wikipedia.org/wiki/The_Colonel%27s_Bequest
laura-bow2;http://en.wikipedia.org/wiki/The_Dagger_of_Amon_Ra
lgeneral;https://en.wikipedia.org/wiki/Panzer_General
longbow;http://en.wikipedia.org/wiki/Conquests_of_the_Longbow:_The_Legend_of_Robin_Hood
loom;http://en.wikipedia.org/wiki/Loom_(video_game)
lost-in-time;http://en.wikipedia.org/wiki/Lost_in_Time_%28video_game%29
manhole;http://en.wikipedia.org/wiki/The_Manhole
manhunter1;http://en.wikipedia.org/wiki/Manhunter:_New_York
manhunter2;http://en.wikipedia.org/wiki/Manhunter_2:_San_Francisco
maniacmansion;http://en.wikipedia.org/wiki/Maniac_Mansion
marathon;https://en.wikipedia.org/wiki/Marathon_(video_game)
nebular;http://en.wikipedia.org/wiki/Rex_Nebular_and_the_Cosmic_Gender_Bender
neverhood;https://en.wikipedia.org/wiki/The_Neverhood
noahs-ark;https://en.wikipedia.org/wiki/Super_3D_Noah%27s_Ark
nomouth;http://en.wikipedia.org/wiki/I_Have_No_Mouth%2C_and_I_Must_Scream_%28computer_game%29
pajama-sam-gtpoad;https://en.wikipedia.org/wiki/Pajama_Sam
pajama-sam-lost-found;https://en.wikipedia.org/wiki/Pajama_Sam
pajama-sam-sockworks;https://en.wikipedia.org/wiki/Pajama_Sam
pajama-sam1;https://en.wikipedia.org/wiki/Pajama_Sam
